Region|Country|Cities|Heritage Sites
|:-|:-|:-|:-
Africa East|Mauritius|Port Louis|Aapravasi Ghat • Le Morne Cultural Landscape
Africa Middle|Angola|Luanda • M'banza-Kongo|Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo
Africa North|Morocco|Rabat • Casablanca • Meknès|Rabat, Modern Capital and Historic City: a Shared Heritage • Historic City of Meknes • Archaeological Site of Volubilis
Africa South|South Africa|Pretoria • Johannesburg • Cape Town|Robben Island • Cape Floral Region Protected Areas
Africa West|Ghana|Accra • Kumasi|Forts and Castles, Volta, Greater Accra, Central and Western Regions • Asante Traditional Buildings
America Caribbean|Puerto Rico|San Juan|La Fortaleza and San Juan National Historic Site in Puerto Rico
America Central|Mexico|Mexico, Ciudad De|Historic Centre of Mexico City and Xochimilco • Pre-Hispanic City of Teotihuacan • Luis Barragán House and Studio • Central University City Campus of the <i>Universidad Nacional Autónoma de México</i> (UNAM)
America North|Canada|Ottawa • Toronto|Rideau Canal
America South|Peru|Lima • Huaraz|Historic Centre of Lima • Chavin (Archaeological Site) • Huascarán National Park
Asia Central|Uzbekistan|Tashkent • Samarkand|Proto-urban Site of Sarazm • Samarkand  – Crossroad of Cultures
Asia East|South Korea|Seoul|Jongmyo Shrine • Changdeokgung Palace Complex • Hwaseong Fortress • Namhansanseong
Asia South|India|Greater Mumbai • Agra|Elephanta Caves • Chhatrapati Shivaji Terminus (formerly Victoria Terminus) • Victorian Gothic and Art Deco Ensembles of Mumbai • Agra Fort • Taj Mahal • Fatehpur Sikri • Keoladeo National Park
Asia Southeast|Singapore|Singapore|Singapore Botanic Gardens
Asia West|Israel|Jerusalem|Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves • Old City of Jerusalem and its Walls • Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas) • Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem • Palestine: Land of Olives and Vines – Cultural Landscape of Southern Jerusalem, Battir • Hebron/Al-Khalil Old Town
Europe East|Poland|Warszawa • Kraków|Historic Centre of Warsaw • Historic Centre of Kraków • Wieliczka and Bochnia Royal Salt Mines • Kalwaria Zebrzydowska: the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park
Europe North|Sweden|Stockholm|Birka and Hovgården • Skogskyrkogården • Royal Domain of Drottningholm
Europe South|Italy|Roma|Vatican City • Villa Adriana (Tivoli) • Villa d'Este, Tivoli • Etruscan Necropolises of Cerveteri and Tarquinia • Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura
Europe West|Netherlands|Amsterdam • Almere|Defence Line of Amsterdam • Droogmakerij de Beemster (Beemster Polder) • Rietveld Schröderhuis (Rietveld Schröder House) • Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht • Schokland and Surroundings • Defence Line of Amsterdam • Droogmakerij de Beemster (Beemster Polder) • Rietveld Schröderhuis (Rietveld Schröder House) • Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht
Oceania AUS/NZL|Australia|Canberra • Greater Sydney|Sydney Opera House
Oceania Melanesia|New Caledonia|Noumea|NA
Oceania Micronesia|Palau|Koror|Rock Islands Southern Lagoon
Oceania Polynesia|American Samoa|Pago Pago • Tafuna|NA
